ParticipantID,Age,Experience,Programming Level,Familiarity with Camel & Kebab case,Task,Sentence,Selected Identifier,Correct identifier,IsCorrect,Time Taken
1,25,Yes,Intermediate,Yes,1,test function,test-function,test-function,TRUE,2.33
1,25,Yes,Intermediate,Yes,2,move south,moveSouth,moveSouth,TRUE,3.617
1,25,Yes,Intermediate,Yes,3,close window,closeWindow,closeWindow,TRUE,2.876
1,25,Yes,Intermediate,Yes,4,debug issue,debugIssue,debugIssue,TRUE,2.953
1,25,Yes,Intermediate,Yes,5,open door,openDoor,openDoor,TRUE,1.555
1,25,Yes,Intermediate,Yes,6,open door,open-door,open-door,TRUE,2.394
1,25,Yes,Intermediate,Yes,7,debug issue,debug-issue,debug-issue,TRUE,2.605
1,25,Yes,Intermediate,Yes,8,close window,close-window,close-window,TRUE,3.09
1,25,Yes,Intermediate,Yes,9,write code,writeCode,writeCode,TRUE,2.757
1,25,Yes,Intermediate,Yes,10,move south,move-south,move-south,TRUE,1.782
1,25,Yes,Intermediate,Yes,11,run fast,runFast,runFast,TRUE,3.613
1,25,Yes,Intermediate,Yes,12,jump high,jumpHigh,jumpHigh,TRUE,1.724
1,25,Yes,Intermediate,Yes,13,jump high,jump-high,jump-high,TRUE,2.67
1,25,Yes,Intermediate,Yes,14,run fast,run-fast,run-fast,TRUE,2.478
1,25,Yes,Intermediate,Yes,15,read book,read-book,read-book,TRUE,1.408
1,25,Yes,Intermediate,Yes,16,play game,playGame,playGame,TRUE,1.508
1,25,Yes,Intermediate,Yes,17,play game,play-game,play-game,TRUE,3.184
1,25,Yes,Intermediate,Yes,18,test function,testFunction,testFunction,TRUE,1.531
1,25,Yes,Intermediate,Yes,19,write code,write-code,write-code,TRUE,3.502
1,25,Yes,Intermediate,Yes,20,read book,readBook,readBook,TRUE,2.261
2,25,Yes,Intermediate,Yes,1,debug issue,debugIssue,debugIssue,TRUE,4.46
2,25,Yes,Intermediate,Yes,2,open door,openDoor,openDoor,TRUE,1.811
2,25,Yes,Intermediate,Yes,3,debug issue,debug-issue,debug-issue,TRUE,3.364
2,25,Yes,Intermediate,Yes,4,write code,writeCode,writeCode,TRUE,2.266
2,25,Yes,Intermediate,Yes,5,open door,open-door,open-door,TRUE,2.55
2,25,Yes,Intermediate,Yes,6,read book,readBook,readBook,TRUE,1.587
2,25,Yes,Intermediate,Yes,7,test function,test-function,test-function,TRUE,1.736
2,25,Yes,Intermediate,Yes,8,write code,write-code,write-code,TRUE,2.946
2,25,Yes,Intermediate,Yes,9,close window,close-window,close-window,TRUE,1.903
2,25,Yes,Intermediate,Yes,10,test function,testFunction,testFunction,TRUE,3.546
2,25,Yes,Intermediate,Yes,11,move south,moveSouth,moveSouth,TRUE,1.802
2,25,Yes,Intermediate,Yes,12,close window,closeWindow,closeWindow,TRUE,1.866
2,25,Yes,Intermediate,Yes,13,play game,playGame,playGame,TRUE,2.716
2,25,Yes,Intermediate,Yes,14,run fast,run-fast,run-fast,TRUE,1.511
2,25,Yes,Intermediate,Yes,15,move south,move-south,move-south,TRUE,2.389
2,25,Yes,Intermediate,Yes,16,jump high,jump-high,jump-high,TRUE,3.384
2,25,Yes,Intermediate,Yes,17,run fast,runFast,runFast,TRUE,2.542
2,25,Yes,Intermediate,Yes,18,play game,play-game,play-game,TRUE,2.623
2,25,Yes,Intermediate,Yes,19,read book,read-cook,read-book,FALSE,1.81
2,25,Yes,Intermediate,Yes,20,jump high,jumpHigh,jumpHigh,TRUE,2.506
3,24,Yes,Intermediate,Yes,1,open door,openDoor,openDoor,TRUE,2.932
3,24,Yes,Intermediate,Yes,2,debug issue,debug-issue,debug-issue,TRUE,2.487
3,24,Yes,Intermediate,Yes,3,jump high,jump-high,jump-high,TRUE,2.305
3,24,Yes,Intermediate,Yes,4,open door,open-door,open-door,TRUE,2.57
3,24,Yes,Intermediate,Yes,5,debug issue,debugIssue,debugIssue,TRUE,3.962
3,24,Yes,Intermediate,Yes,6,move south,moveSouth,moveSouth,TRUE,1.47
3,24,Yes,Intermediate,Yes,7,test function,testFunction,testFunction,TRUE,1.509
3,24,Yes,Intermediate,Yes,8,run fast,runFast,runFast,TRUE,2.606
3,24,Yes,Intermediate,Yes,9,test function,test-function,test-function,TRUE,2.724
3,24,Yes,Intermediate,Yes,10,play game,playGame,playGame,TRUE,1.966
3,24,Yes,Intermediate,Yes,11,close window,closeWindow,closeWindow,TRUE,3.413
3,24,Yes,Intermediate,Yes,12,jump high,jumpHigh,jumpHigh,TRUE,2.315
3,24,Yes,Intermediate,Yes,13,close window,close-window,close-window,TRUE,2.506
3,24,Yes,Intermediate,Yes,14,move south,move-south,move-south,TRUE,1.884
3,24,Yes,Intermediate,Yes,15,play game,play-game,play-game,TRUE,1.346
3,24,Yes,Intermediate,Yes,16,run fast,run-fast,run-fast,TRUE,1.461
3,24,Yes,Intermediate,Yes,17,read book,read-book,read-book,TRUE,2.08
3,24,Yes,Intermediate,Yes,18,read book,reaeBook,readBook,FALSE,2.021
3,24,Yes,Intermediate,Yes,19,write code,writeCode,writeCode,TRUE,1.642
3,24,Yes,Intermediate,Yes,20,write code,write-code,write-code,TRUE,3.551
4,20,Yes,Beginner,Yes,1,open door,openDoor,openDoor,TRUE,2.869
4,20,Yes,Beginner,Yes,2,test function,testFunction,testFunction,TRUE,3.542
4,20,Yes,Beginner,Yes,3,debug issue,debug-issue,debug-issue,TRUE,4.377
4,20,Yes,Beginner,Yes,4,run fast,run-fast,run-fast,TRUE,3.999
4,20,Yes,Beginner,Yes,5,open door,open-door,open-door,TRUE,3.798
4,20,Yes,Beginner,Yes,6,read book,read-book,read-book,TRUE,3.479
4,20,Yes,Beginner,Yes,7,read book,readBook,readBook,TRUE,2.845
4,20,Yes,Beginner,Yes,8,debug issue,debugIssue,debugIssue,TRUE,3.172
